David Bowie,"Orwell, George",http://www.independent.co.uk/arts-entertainment/books/news/from-homer-to-orwell-david-bowies-100-favourite-books-revealed-8851127.html,bowie_orwell.mmd
Hannah Fury,L.Frank Baum,http://genius.com/Genius-songs-based-on-stories-annotated,fury_baum.mmd
Anthrax,Stephen King,http://noisecreep.com/stephen-king-metallica-and-anthrax-to-ozzy-and-black-sabbath/,anthrax_king.mmd
Blue Oyster Cult,Michael Moorcock,http://www.avclub.com/article/blue-oyster-cults-veteran-of-the-psychic-wars-is-e-88459,cult_moorcock.mmd
Pink,Joseph Heller ,https://en.wikipedia.org/wiki/List_of_songs_that_retell_a_work_of_literature,pink_heller.mmd
Iron Maiden,Edgar Allan Poe,http://storydam.com/2013/07/19/up-the-irons-10-iron-maiden-works-inspired-by-literature/,maiden_poe.mmd
Metallica,Ernest Hemingway ,http://metallica.wikia.com/wiki/For_Whom_the_Bell_Tolls_(song),metallica_hemingway.mmd
Iced Earth,Mary Shelley,http://genius.com/Genius-songs-based-on-stories-annotated,earth_shelley.mmd
Bruce Springsteen,John Steinbeck,http://www.rollingstone.com/music/lists/the-ties-that-bind-bruce-springsteens-25-biggest-heroes-20140110/john-steinbeck-19691231,springsteen_steinbeck.mmd
Poe,Mark Danielewski,https://litreactor.com/columns/haunted-the-album-inspired-by-mark-z-danielewskis-house-of-leaves,poe_danielewski.mmd
Kenny Loggins,A.A. Milne,http://www.tennessean.com/story/entertainment/music/2014/09/07/kenny-loggins-revisits-house-pooh-corner/15237517/,loggins_milne.mmd
The Beatles  ,Lewis Carroll,http://mentalfloss.com/article/30523/who-was-walrus-analyzing-strangest-beatles-song,beatles_carroll.mmd
Annie Lennox,Bram Stoker,http://www.discogs.com/Wojciech-Kilar-Bram-Stokers-Dracula-Original-Motion-Picture-Soundtrack/release/909043,lennox_stoker.mmd
Regina Spektor,Sophocles,http://genius.com/Genius-songs-based-on-stories-annotated,spektor_sophocles.mmd
Sonic Youth,William Gibson,http://www.sonicyouth.com/mustang/sy/song77.html,sonic_gibson.mmd
Radiohead,Haruki Murakami,http://www.sfbg.com/pixel_vision/2008/10/22/haruki-murakami-likes-radiohead,radiohead_murakami.mmd
Feist,Margaret Atwood,http://flavorwire.com/384073/your-favorite-authors-favorite-musicians/4,feist_atwood.mmd
The Smiths,J.K. Rowling,http://flavorwire.com/384073/your-favorite-authors-favorite-musicians/7,smiths_rowling.mmd
Talking Heads,David Mitchell,http://soundcheck.wnyc.org/story/2014s-biggest-authors-their-favorite-music/,heads_mitchell.mmd
Nine Inch Nails,Chuck Palahniuk,https://twitter.com/nineinchnails/status/213698055642415104,nails_palahniuk.mmd
